source,target,weight
0xcc13,0x01b8ff,32
0x01898b,0x016755,16
0x09df,0xf7,22
0x1904,0x20c6,24
0xf9dd,0x018d0c,104
0xf9e8,0x20c6,56
0x36f7,0x014723,11
0x012470,0x0174f8,16
0xa6b6,0x1585,40
0xf7c4,0x0174f8,112
0x1400,0x01b8ff,17
0x1676,0x713e,24
0xe4cc,0xf7,12
0x0156c5,0xf7,16
0xb6bf,0x01b8ff,11
0x01331a,0x0174f8,16
0x3d7e,0xed9e,15
0x0126fb,0xbd78,17
0x015705,0x01b8ff,16
0x90f6,0xf7,12
0x012a8e,0x011936,32
0x018ab6,0x713e,12
0xb5f5,0x20c6,16
0x4f5c,0xf7,12
0x016192,0x1585,11
0xe58b,0xf7,12
0xd031,0xed9e,17
0x5ed8,0x01a577,11
0x019b50,0xf7,12
0x017504,0x01704e,76
0xa6b6,0x0578,24
0x017221,0x5811,11
0x01057d,0x1585,17
0x01c35c,0x01b8ff,14
0x01ddde,0x01cfd4,145
0x010e96,0x01b8ff,11
0x0155e6,0x126d,11
0x014e11,0x4e50,12
0x012836,0xbbfd,11
0x01519e,0x01a577,16
0x011c13,0x01a55d,11
0xb9eb,0xf7,16
0x0116e1,0x713e,11
0x101f,0x0108cf,27
0x5a10,0xf7,31
0x013973,0x01b8ff,16
0x016ea0,0x1585,12
0x9f69,0x01a577,16
0x3234,0x713e,15
0x01be30,0x01b8ff,32
0x017246,0x20c6,16
0x01281a,0xf7,11
0x44c3,0x016e31,11
0x80ab,0x0174f8,25
0xe90c,0x0174f8,17
0xd15f,0x01b8ff,32
0x0165a3,0x0d97,11
0xaba5,0x1585,26
0xbfd9,0x01b8ff,24
0x57e8,0x5811,16
0x018f51,0x0174f8,24
0x8439,0xf7,16
0x8297,0x01b8ff,11
0x4a0a,0x1585,153
0x01a8e3,0xdd6e,12
0xc505,0x20c6,19
0x0100e6,0x01b8ff,11
0xc4d8,0x5811,12
0x88a6,0x713e,24
0xd838,0xbbfd,16
0x6c09,0x01b8ff,32
0x2a,0x01e079,13
0x8439,0x01a577,24
0x9b94,0x7211,36
0x01016c,0x0174f8,112
0x5c90,0x713e,11
0x3ae6,0x0134d9,113
0x019321,0xed9e,56
0x01673b,0xf7,11
0x5df6,0x0100da,47
0x9ac7,0x20c6,16
0x01b4d4,0x0165a4,11
0x991a,0x7b6c,12
0x011257,0xf7,24
0x015951,0x713e,17
0x5af9,0xf7,19
0x010946,0x0134d9,49
0xd4a1,0x20c6,16
0x018981,0x010fba,12
0x494f,0x7b6c,11
0x6511,0x0134d9,49
0x050e,0x4e50,30
0xacaf,0x20c6,11
0xf133,0x0145e0,12
0x01ad1f,0x16c5,20
0x86ff,0x9993,24
0x843c,0x01a577,16
0x3ebc,0x3ecf,223
0x03cb,0x01b8ff,12
0x01ad08,0xf7,12
0xa1d5,0x0174f8,55
0x0c77,0x0177ec,16
0x01460d,0x0136a4,25
0xeaa2,0x0134d9,89
0x0156df,0x4e50,49
0x6ee7,0x3a0e,11
0x010bde,0x010510,33
0x01f6,0xcc85,12
0xe596,0x20c6,32
0x4cae,0x20c6,16
0x0145ae,0x1585,92
0xbb35,0x5811,72
0xb116,0x01b8ff,20
0x01d3f1,0xff1b,17
0x01baeb,0xa679,80
0x01abfa,0x7b6c,12
0xf80a,0xf7,11
0x4971,0xf7,11
0x081b,0x0174f8,40
0x735e,0xf7,12
0x01ad56,0xf7,12
0x011e05,0x0174f8,16
0x0112a3,0xf7,11
0x32f6,0xf7,20
0x01436d,0x0174f8,16
0x5dfb,0x01b8ff,12
0x24a6,0x0174f8,20
0x010946,0x01704e,81
0x015175,0x16c5,17
0x699a,0x7b6c,11
0x0154ac,0xdd6e,33
0x010e83,0xf7,12
0x715f,0x7b6c,11
0x3f2d,0x3e8e,20
0x416e,0x01a577,22
0xbcf0,0x01b40d,16
0x51b5,0xcc85,23
0xf9e5,0x20c6,72
0x4ea0,0xf7,12
0x01c590,0xa26e,33
0xa63a,0x013489,24
0x62e6,0xf7,12
0x95a4,0xf7,17
0xd1a1,0xf7,12
0x012470,0x01b8ff,32
0x3d97,0x20c6,11
0x038b,0xf7,23
0xce92,0xf7,11
0x0160de,0x7b6c,11
0x77da,0x014723,33
0xd4c5,0x0174f8,200
0x01468b,0xf7,12
0xfe68,0xa09d,12
0x01b5e6,0x01b40d,67
0x011117,0x01b8ff,49
0x4785,0x4910,16
0x37a7,0xf7,14
0x53be,0xf7,23
0xbdb3,0xf7,20
0x018e8f,0xf7,12
0x01480d,0xf7,49
0xd19d,0x01a577,11
0xe586,0xf7,12
0xce92,0x01b8ff,20
